,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
213,Centretown,45.4144453,-75.69033979999998,Sir John A Pub,45.417038598095864,-75.68965873345435,Pub
214,Centretown,45.4144453,-75.69033979999998,Ottawa Curling Club,45.410911699645034,-75.69003688023612,Sports Club
215,Centretown,45.4144453,-75.69033979999998,Gongfu Bao,45.414047,-75.69507,Dumpling Restaurant
216,Centretown,45.4144453,-75.69033979999998,Herb & Spice Food Shop,45.41383383187008,-75.69497042268057,Health Food Store
217,Centretown,45.4144453,-75.69033979999998,Prohibition Public House,45.415921208305726,-75.69548428058623,Gastropub
218,Centretown,45.4144453,-75.69033979999998,Fauna Food + Bar,45.41244044819844,-75.69383057819458,American Restaurant
219,Centretown,45.4144453,-75.69033979999998,Mags & Fags,45.41825781300778,-75.6906421167157,Newsstand
220,Centretown,45.4144453,-75.69033979999998,Whalesbone on Elgin,45.418865,-75.691077,Seafood Restaurant
221,Centretown,45.4144453,-75.69033979999998,Flora Hall Brewing,45.41081413161598,-75.69320937354483,Brewery
222,Centretown,45.4144453,-75.69033979999998,The Buzz Restaurant and Lounge,45.41378319579667,-75.69517407081955,American Restaurant
223,Centretown,45.4144453,-75.69033979999998,Burgers n' Fries Forever,45.41422785086137,-75.69539756775409,Burger Joint
224,Centretown,45.4144453,-75.69033979999998,Beerocracy,45.41560866422036,-75.69537162780762,Beer Bar
225,Centretown,45.4144453,-75.69033979999998,Live on Elgin,45.418775,-75.691212,Other Nightlife
226,Centretown,45.4144453,-75.69033979999998,Vistek,45.41065100110119,-75.69269091639754,Camera Store
